Namespace(file=['channels.txt'])
Location,Name,Frequency
0,Malibu Marine,162.425
1,Los Angeles,162.550
2,CVS-ALTD1,483.98750
3,WHLYD-D2,483.36250
4,ELA-D3,483.21250
5,CENTRY-D4,483.26250
6,WAL-SDMD6,482.93750
7,LMT-AVAD7,484.03750
8,INDSTRYD8,483.68750
9,CARS-CPT9,484.16250
10,LHS-D10,482.91250
11,TEM-D11,482.98750
12,SLAMDR12,483.43750
13,NWKPRV13,483.76250
14,LKDCER14,483.13750
15,L-TAC 1,483.91250
16,L-TAC 2,482.88750
17,L-TAC 3,483.38750
18,L-TAC 4,483.96250
19,L-TAC 5,483.46250
20,L-TAC 6,483.48750
21,L-TAC 7,483.23750
22,L-TAC 8,483.11250
23,L-TAC 9,483.86250
24,L-TAC 10,484.01250
25,L-TAC 11,483.18750
26,L-TAC 12,483.41250
27,A-TAC 1,483.08750
28,A-TAC 2,483.16250
29,A-TAC 3,483.01250
30,A-TAC 4,484.11250
31,1 CENTRAL,506.73750
32,2 RAMPART,506.93750
33,3 SOUTHWEST,506.98750
34,4 HOLLENBECK,507.18750
35,5 HARBOR,484.28750
36,6 HOLLYWOOD,507.21250
37,7 WILSHIRE,506.96250
38,8 WEST LA,506.76250
39,9 VAN NUYS,506.71250
40,10 WEST VAL,484.93750
41,11 NORTHEAST,484.83750
42,12 77TH,507.23750
43,13 NEWTON,484.86250
44,14 PACIFIC,484.38750
45,15 NORTH HWD,484.96250
46,16 FOOTHILL,507.16250
47,17 DEVONSHRE,506.88750
48,18 SOUTHEAST,506.78750
49,19 MISSION,484.88750
50,20 OLYMPIC,484.65000
51,21 TOPANGA,484.85000
52,22 WTD,484.36250
53,23 VTD,484.91250
54,24 CTD,484.81250
55,25 STD,484.33750
56,101 CENT FBK,506.70000
57,102 RAMP FBK,484.67500
58,103 SWD FBK,507.17500
59,104 HOBK FBK,484.62500
60,105 HARB FBK,484.87500
61,106 HWD FBK,506.60000
62,107 WIL FBK,484.55000
63,108 WLA FBK,484.97500
64,109 VNYS FBK,506.97500
65,110 WVAL FBK,507.20000
66,111 NOE FBK,484.57500
67,112 77TH FBK,484.95000
68,113 NEWT FBK,506.82500
69,114 PAC FBK,484.50000
70,115 NHWD FBK,484.80000
71,116 FTHL FBK,506.80000
72,117 DEV FBK,484.30000
73,118 SOE FBK,506.72500
74,119 MSN FBK,484.82500
75,120 OLYM FBK,484.70000
76,121 TOP FBK,484.37500
77,122 WTD FBK,484.60000
78,123 VTD FBK,506.75000
79,124 CTD FBK,484.52500
80,125 STD FBK,506.95000
81,35 OCB TAC1,507.11250
82,36 OCB TAC2,484.78750
83,37 OSB TAC1,507.03750
84,38 OSB TAC2,484.31250
85,39 OWB TAC1,506.81250
86,40 OWB TAC2,484.41250
87,41 OVB TAC1,507.01250
88,42 OVB TAC2,507.22500
